id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,,,
3393,4/22/11,,SA,Colombia,CO,Antioquia,49169,Municipio de Copacabana,7.98838,,6.3704,-75.4408,"(6.3704000000000001, -75.440799999999996)",Landslide,Landslide,Medium,Downpour,,,2,,http://colombiareports.com/colombia-news/news/15789-2-children-die-in-mudslide-just-north-of-medellin.html,22-04-2011,2011,4
3398,4/23/11,Night,SA,Colombia,CO,Antioquia,8603,Frontino,5.0696,,6.7425,-76.1551,"(6.7424999999999997, -76.155100000000004)",Landslide,Landslide,Medium,Rain,,,0,,http://www.laht.com/article.asp?ArticleId=392326&CategoryId=12393,23-04-2011,2011,4
3403,4/24/11,,SA,Ecuador,EC,Morona-Santiago,23687,Macas,46.77007,,-2.0398,-78.4359,"(-2.0398000000000001, -78.435900000000004)",Landslide,Landslide,Medium,Downpour,,,7,,http://english.peopledaily.com.cn/90001/90777/90852/7363604.html,24-04-2011,2011,4
3404,4/24/11,,,United States,US,West Virginia,4028,Sissonville,3.90856,,38.5212,-81.6749,"(38.5212, -81.674899999999994)",Landslide,Mudslide,Small,Downpour,,,0,,http://wowktv.com/story.cfm?func=viewstory&storyid=98257,24-04-2011,2011,4
3405,4/24/11,,,United States,US,Ohio,3149,West Portsmouth,6.43139,,38.71,-83.0697,"(38.71, -83.069699999999997)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.chillicothegazette.com/article/20110424/NEWS01/304240003/Continued-rain-mudslides-cause-road-closures?odyssey=tab%7Ctopnews%7Ctext%7CFrontpage,24-04-2011,2011,4
3406,4/24/11,,,United States,US,Ohio,4582,Waverly,12.99718,,39.1653,-82.8435,"(39.165300000000002, -82.843500000000006)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.chillicothegazette.com/article/20110424/NEWS01/304240003/Continued-rain-mudslides-cause-road-closures?odyssey=tab%7Ctopnews%7Ctext%7CFrontpage,24-04-2011,2011,4
3408,4/25/11,,,United States,US,Missouri,4426,Hollister,8.78605,,36.5989,-93.3097,"(36.5989, -93.309700000000007)",Landslide,Mudslide,Small,Downpour,,,0,,"http://www.kspr.com/news/local/kspr-mudslide-closes-us-165-at-table-rock-dam-20110425,0,4109014.story",25-04-2011,2011,4
3409,4/25/11,,,United States,US,Ohio,3234,Cleves,4.50908,,39.1369,-84.7904,"(39.136899999999997, -84.790400000000005)",Landslide,Landslide,Small,Downpour,,,0,,http://www.wvxu.org/news/wvxunews_article.asp?ID=8751,25-04-2011,2011,4
3410,4/25/11,,,United States,US,Kentucky,4407,Ludlow,1.26285,,39.0978,-84.5604,"(39.097799999999999, -84.560400000000001)",Landslide,Landslide,Small,Downpour,,,0,,http://www.wvxu.org/news/wvxunews_article.asp?ID=8751,25-04-2011,2011,4
3411,4/25/11,,,United States,US,Kentucky,5955,Bellevue,1.42927,,39.1075,-84.4953,"(39.107500000000002, -84.4953)",Landslide,Landslide,Small,Downpour,,,0,,http://www.wlwt.com/news/27674697/detail.html,25-04-2011,2011,4
